stamp_ns,module,duration_ms
1776241249872239203,scan2MapOptimization,12.487
1776241250067382941,scan2MapOptimization,9.502
1776241250268049175,scan2MapOptimization,12.583
1776241250470627139,scan2MapOptimization,15.967
1776241250664113975,scan2MapOptimization,8.378
1776241250869299601,scan2MapOptimization,13.687
1776241251067187837,scan2MapOptimization,13.732
1776241251275133426,scan2MapOptimization,18.053
1776241251474746490,scan2MapOptimization,16.744
1776241251663163874,scan2MapOptimization,8.809
1776241251866605974,scan2MapOptimization,10.071
1776241252066607037,scan2MapOptimization,10.984
1776241252267913478,scan2MapOptimization,11.312
1776241252467702241,scan2MapOptimization,10.285
1776241252675281593,scan2MapOptimization,16.640
1776241252872227683,scan2MapOptimization,14.885
1776241253069551138,scan2MapOptimization,14.420
1776241253271448129,scan2MapOptimization,17.043
1776241253472699329,scan2MapOptimization,16.742
1776241253672946758,scan2MapOptimization,17.554
1776241253871331742,scan2MapOptimization,16.163
1776241254072380020,scan2MapOptimization,15.344
1776241254275115892,scan2MapOptimization,13.967
1776241254473072344,scan2MapOptimization,16.730
1776241254672005135,scan2MapOptimization,16.551
1776241254871344634,scan2MapOptimization,14.149
1776241255069398427,scan2MapOptimization,13.327
1776241255273958651,scan2MapOptimization,17.685
1776241255468344790,scan2MapOptimization,10.879
1776241255669150971,scan2MapOptimization,13.477
1776241255870180707,scan2MapOptimization,14.943
1776241256070998800,scan2MapOptimization,13.120
1776241256270968044,scan2MapOptimization,14.173
1776241256479012012,scan2MapOptimization,18.286
1776241256677719692,scan2MapOptimization,16.514
1776241256880535481,scan2MapOptimization,20.074
1776241257074282877,scan2MapOptimization,13.896
1776241257276568093,scan2MapOptimization,16.893
1776241257474902413,scan2MapOptimization,16.666
1776241257674105858,scan2MapOptimization,12.731
1776241257875193797,scan2MapOptimization,16.840
1776241258072364638,scan2MapOptimization,10.865
1776241258281166681,scan2MapOptimization,19.508
1776241258475662916,scan2MapOptimization,18.578
1776241258675103707,scan2MapOptimization,16.569
1776241258877968478,scan2MapOptimization,21.720
1776241259077443037,scan2MapOptimization,15.833
1776241259280543318,scan2MapOptimization,22.283
1776241259472104986,scan2MapOptimization,13.484
1776241259669623793,scan2MapOptimization,11.544
1776241259878551632,scan2MapOptimization,16.028
1776241260069522666,scan2MapOptimization,11.155
1776241260276709520,scan2MapOptimization,17.173
1776241260472008897,scan2MapOptimization,13.098
1776241260677552902,scan2MapOptimization,18.266
1776241260880644521,scan2MapOptimization,22.008
1776241261077074223,scan2MapOptimization,17.838
1776241261273398993,scan2MapOptimization,14.825
1776241261474182529,scan2MapOptimization,12.116
1776241261678911318,scan2MapOptimization,12.445
1776241261877227139,scan2MapOptimization,19.848
